mechanism|optgroup
Human Rights Committee (CCPR)|International
Committee on Economic, Social and Cultural Rights (CESCR)|International
Committee on the Elimination of Racial Discrimination (CERD)|International
Committee on the Elimination of Discrimination against Women (CEDAW)|International
Committee against Torture (CAT)|International
Committee on the Rights of the Child (CRC)|International
Committee on Migrant Workers (CMW)|International
Committee on the Rights of Persons with Disabilities (CRPD)|International
Committee on Enforced Disappearances (CED)|International
The Subcommittee on Prevention of Torture and other Cruel, Inhuman or Degrading Treatment or Punishment (SPT)|International
Special Rapporteurs|International
Universal Periodic Review|International
African Commission on People and Human Rights|Regional
Special Rapporteurs|Regional
Uganda Human Rights Commission|National
