recommendation|theme|mechanism|mda|c_mda|indicators|baseline|target|verification|status|yearReceived|deadline
Triala|Economic, Social and Cultural Rights|Human Rights Committee (CCPR)|Parliament||test indicator|tesst baseline|test target|jdfklsdf|ok|1987|0
Establish mechanism through which prison system can receive and investigate sexual violence and provide assistance to victims |Economic, Social and Cultural Rights|Human Rights Committee (CCPR)|Ministry of Gender, Labour and Social Development||System to consider cases of abuse and assist victims, especially victims of sexual violence, is put in place|System of receiving complaints with prison on sexual violence is ad hoc and dependent on specific prison warden|Rules for receiving and addressing complaint of sexual violence within prisons have been established and operationalized nation wide|Rules document|In 2015 the prison service together with Ministry of Justice developed rules for addressing sexual violence in prisons. Five trainings where carried out for prison wardens and staff on using the rules|2005|0
Develop coherent and multi-sectoral action plan to combat violence against women |Women’s Rights|Committee on the Elimination of Discrimination against Women (CEDAW)|Ministry of Gender, Labour and Social Development||Multi-sectoral plan combat VAW is adopted and implemented by a wide range of sectors |No multi sectoral plan to combat VAW in place. |....|...|....|2010|0
rertwrtrwt|Economic, Social and Cultural Rights|Human Rights Committee (CCPR)|Parliament||dsd|zzz|dass|ss|df|1983|0
rat|Economic, Social and Cultural Rights|Human Rights Committee (CCPR)|Parliament||rrr|ddd|sss|||1983|0
cam|Right to Development|Universal Periodic Review|Parliament||iijjnjfnjnf|dfrd|bfvfdf|ddvfv|f bdfvbe|1986|0
testing test in Board Room|Economic, Social and Cultural Rights|Committee on the Elimination of Discrimination against Women (CEDAW)|Ministry of Gender, Labour and Social Development||xya|tst|testing |Reports|in2006jdjdjdjdjdjdjd|1993|0
Implement recommendations of UHRC as submitted to Parliament|Economic, Social and Cultural Rights|Committee on the Elimination of Racial Discrimination (CERD)|Parliament|Ministry of Gender, Labour and Social Development|....|....|....|Legistration|....|2003|1983
|Economic, Social and Cultural Rights|Human Rights Committee (CCPR)|Parliament|||||Legistration||1983|1983
Provide systematic training programmes on the rights of the child |Children’s Rights|Human Rights Committee (CCPR)|Ministry of Gender, Labour and Social Development||123|123|123|Report|123|1997|1983
Abolish use of un-gazetted or un-authorised places of detention|Right against Torture, Cruel and Inhuman Treatment|Committee against Torture (CAT)|Ministry of Justice and Constitutional Affairs|Parliament|test|test|test|Legistration|test|2005|1983
